SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME,TICKER,EXPIRY
NSE,D,40803,OPTSTK,0,COFORGE-Aug2024-4700-PE,150.0,COFORGE 29 AUG 4700 PUT,2024-08-29 14:30:00,4700.0,PE,5.0,M,OP,,,COFORGE,Aug2024
NSE,D,40814,OPTSTK,0,CUMMINSIND-Aug2024-1700-CE,300.0,CUMMINSIND 29 AUG 1700 CALL,2024-08-29 14:30:00,1700.0,CE,5.0,M,OP,,,CUMMINSIND,Aug2024
NSE,D,40820,OPTSTK,0,CUMMINSIND-Aug2024-1700-PE,300.0,CUMMINSIND 29 AUG 1700 PUT,2024-08-29 14:30:00,1700.0,PE,5.0,M,OP,,,CUMMINSIND,Aug2024
NSE,D,40823,OPTSTK,0,CUMMINSIND-Aug2024-1800-CE,300.0,CUMMINSIND 29 AUG 1800 CALL,2024-08-29 14:30:00,1800.0,CE,5.0,M,OP,,,CUMMINSIND,Aug2024
NSE,D,40824,OPTSTK,0,CUMMINSIND-Aug2024-1800-PE,300.0,CUMMINSIND 29 AUG 1800 PUT,2024-08-29 14:30:00,1800.0,PE,5.0,M,OP,,,CUMMINSIND,Aug2024
NSE,D,40825,OPTSTK,0,CUMMINSIND-Aug2024-2350-CE,300.0,CUMMINSIND 29 AUG 2350 CALL,2024-08-29 14:30:00,2350.0,CE,5.0,M,OP,,,CUMMINSIND,Aug2024
NSE,D,40828,OPTSTK,0,CUMMINSIND-Aug2024-2350-PE,300.0,CUMMINSIND 29 AUG 2350 PUT,2024-08-29 14:30:00,2350.0,PE,5.0,M,OP,,,CUMMINSIND,Aug2024
NSE,D,40829,OPTSTK,0,CUMMINSIND-Aug2024-2450-CE,300.0,CUMMINSIND 29 AUG 2450 CALL,2024-08-29 14:30:00,2450.0,CE,5.0,M,OP,,,CUMMINSIND,Aug2024
NSE,D,40830,OPTSTK,0,CUMMINSIND-Aug2024-2450-PE,300.0,CUMMINSIND 29 AUG 2450 PUT,2024-08-29 14:30:00,2450.0,PE,5.0,M,OP,,,CUMMINSIND,Aug2024
NSE,D,40864,OPTSTK,0,BERGEPAINT-Aug2024-685-CE,1320.0,BERGEPAINT 29 AUG 685 CALL,2024-08-29 14:30:00,685.0,CE,5.0,M,OP,,,BERGEPAINT,Aug2024
NSE,D,40870,OPTSTK,0,DALBHARAT-Aug2024-1260-CE,275.0,DALBHARAT 29 AUG 1260 CALL,2024-08-29 14:30:00,1260.0,CE,5.0,M,OP,,,DALBHARAT,Aug2024
NSE,D,40871,OPTSTK,0,BERGEPAINT-Aug2024-685-PE,1320.0,BERGEPAINT 29 AUG 685 PUT,2024-08-29 14:30:00,685.0,PE,5.0,M,OP,,,BERGEPAINT,Aug2024
NSE,D,40872,OPTSTK,0,DALBHARAT-Aug2024-1260-PE,275.0,DALBHARAT 29 AUG 1260 PUT,2024-08-29 14:30:00,1260.0,PE,5.0,M,OP,,,DALBHARAT,Aug2024
